0,76.606,0,0
1,76.032,1.1607,0.80792
2,75.75,1.2056,0.80188
3,76.228,1.2824,0.7989
4,75.702,1.2428,0.80394
5,75.49,1.3504,0.79839
6,76.071,1.341,0.79616
7,75.144,1.3215,0.80228
8,75.255,1.3634,0.7925
9,74.746,1.323,0.79368
10,75.206,1.4591,0.78831
11,75.091,1.4135,0.79316
12,75.369,1.3674,0.79195
13,74.545,1.3421,0.79487
14,74.908,1.4328,0.78619
15,74.721,1.3374,0.79002
16,74.902,1.3512,0.78804
17,74.965,1.366,0.78996
18,73.969,1.2528,0.79062
19,74.242,1.4045,0.78011
20,73.931,1.3694,0.78299
21,73.61,1.401,0.77972
22,73.425,1.4266,0.77633
23,73.34,1.4414,0.77438
24,73.376,1.3285,0.77348
25,73.432,1.3439,0.77386
26,72.947,1.3541,0.77445
27,72.76,1.3048,0.76934
28,72.353,1.2494,0.76736
29,71.925,1.2761,0.76307
30,72.234,1.3349,0.75856
31,72.225,1.3905,0.76182
32,71.619,1.3973,0.76172
33,72.191,1.4565,0.75534
34,71.809,1.4152,0.76136
35,71.889,1.4372,0.75733
36,70.706,1.3486,0.75818
37,71.079,1.3298,0.7457
38,70.645,1.4064,0.74963
39,70.822,1.3191,0.74506
40,70.168,1.3073,0.74692
41,70.354,1.3626,0.74002
42,69.256,1.3314,0.74199
43,69.013,1.3368,0.73041
44,69.825,1.436,0.72784
45,69.035,1.3123,0.73641
46,69.119,1.3594,0.72808
47,67.817,1.3698,0.72897
48,68.911,1.4945,0.71524
49,68.065,1.3569,0.72677
50,67.173,1.472,0.71785
51,67.188,1.5138,0.70844
52,67.068,1.5162,0.7086
53,67.098,1.519,0.70733
54,66.538,1.495,0.70765
55,66.652,1.415,0.70174
56,65.368,1.4009,0.70294
57,65.034,1.3809,0.6894
58,65.299,1.441,0.68588
59,65.555,1.5043,0.68868
60,65.2,1.4709,0.69138
61,65.118,1.4382,0.68763
62,64.777,1.4745,0.68676
63,63.776,1.3656,0.68317
64,64.056,1.3876,0.67261
65,63.402,1.4102,0.67556
66,62.852,1.319,0.66867
67,63.605,1.4532,0.66287
68,62.829,1.4494,0.67081
69,62.512,1.4354,0.66262
70,61.153,1.3822,0.65928
71,60.514,1.4084,0.64495
72,61.513,1.5168,0.63822
